map_seed,class_id,recall,recall_nominal,excess
77,79,0.85,0.88,0.03
77,80,0.55,0.57,0.02
77,81,0.81,0.81,0.0
77,82,0.93,0.91,-0.02
77,83,0.46,0.51,0.05
77,84,0.65,0.62,-0.03
77,85,0.87,0.87,0.0
77,86,0.69,0.71,0.02
77,87,0.82,0.8,-0.02
77,88,0.73,0.78,0.05
77,89,0.94,0.93,-0.01
77,90,0.81,0.83,0.02
77,91,0.79,0.72,-0.07
77,92,0.64,0.58,-0.06
77,93,0.55,0.57,0.02
77,94,0.93,0.93,0.0
77,95,0.7,0.74,0.04
77,96,0.58,0.57,-0.01
77,97,0.71,0.75,0.04
77,98,0.39,0.38,-0.01
77,99,0.76,0.77,0.01
88,0,0.92,0.91,-0.01
88,1,0.87,0.86,-0.01
88,2,0.77,0.78,0.01
88,3,0.53,0.55,0.02
88,4,0.74,0.61,-0.13
88,5,0.79,0.85,0.06
88,6,0.69,0.76,0.07
88,7,0.7,0.76,0.06
88,8,0.85,0.89,0.04
88,9,0.81,0.8,-0.01
88,10,0.4,0.51,0.11
88,11,0.34,0.44,0.1
88,12,0.75,0.85,0.1
88,13,0.61,0.63,0.02
88,14,0.7,0.76,0.06
88,15,0.67,0.8,0.13
88,16,0.78,0.82,0.04
88,17,0.8,0.86,0.06
88,18,0.67,0.69,0.02
88,19,0.68,0.69,0.01
88,20,0.78,0.83,0.05
88,21,0.83,0.8,-0.03
88,22,0.63,0.73,0.1
88,23,0.84,0.78,-0.06
88,24,0.81,0.83,0.02
88,25,0.66,0.62,-0.04
88,26,0.63,0.67,0.04
88,27,0.58,0.52,-0.06
88,28,0.78,0.79,0.01
88,29,0.62,0.68,0.06
88,30,0.65,0.63,-0.02
88,31,0.72,0.76,0.04
88,32,0.68,0.6,-0.08
88,33,0.57,0.62,0.05
88,34,0.61,0.68,0.07
88,35,0.48,0.42,-0.06
88,36,0.68,0.73,0.05
88,37,0.76,0.78,0.02
88,38,0.66,0.74,0.08
88,39,0.85,0.84,-0.01
88,40,0.64,0.69,0.05
88,41,0.8,0.77,-0.03
88,42,0.69,0.79,0.1
88,43,0.73,0.77,0.04
88,44,0.48,0.43,-0.05
88,45,0.65,0.59,-0.06
88,46,0.69,0.6,-0.09
88,47,0.63,0.7,0.07
88,48,0.83,0.88,0.05
88,49,0.82,0.8,-0.02
88,50,0.61,0.54,-0.07
88,51,0.6,0.63,0.03
88,52,0.73,0.62,-0.11
88,53,0.94,0.95,0.01
88,54,0.84,0.82,-0.02
88,55,0.42,0.41,-0.01
88,56,0.91,0.86,-0.05
88,57,0.75,0.75,0.0
88,58,0.81,0.85,0.04
88,59,0.72,0.71,-0.01
88,60,0.81,0.88,0.07
88,61,0.68,0.72,0.04
88,62,0.77,0.79,0.02
88,63,0.61,0.68,0.07
88,64,0.54,0.54,0.0
88,65,0.66,0.66,0.0
88,66,0.79,0.78,-0.01
88,67,0.68,0.62,-0.06
88,68,0.9,0.93,0.03
88,69,0.78,0.79,0.01
88,70,0.71,0.71,0.0
88,71,0.81,0.87,0.06
88,72,0.39,0.53,0.14
88,73,0.58,0.57,-0.01
88,74,0.52,0.58,0.06
88,75,0.83,0.87,0.04
88,76,0.86,0.89,0.03
88,77,0.72,0.76,0.04
88,78,0.52,0.62,0.1
88,79,0.86,0.88,0.02
88,80,0.53,0.57,0.04
88,81,0.73,0.81,0.08
88,82,0.92,0.91,-0.01
88,83,0.52,0.51,-0.01
88,84,0.66,0.62,-0.04
88,85,0.86,0.87,0.01
88,86,0.66,0.71,0.05
88,87,0.8,0.8,0.0
88,88,0.76,0.78,0.02
88,89,0.88,0.93,0.05
88,90,0.77,0.83,0.06
88,91,0.79,0.72,-0.07
88,92,0.6,0.58,-0.02
88,93,0.52,0.57,0.05
88,94,0.94,0.93,-0.01
88,95,0.72,0.74,0.02
88,96,0.56,0.57,0.01
88,97,0.72,0.75,0.03
88,98,0.28,0.38,0.1
88,99,0.78,0.77,-0.01
99,0,0.91,0.91,0.0
99,1,0.66,0.86,0.2
99,2,0.51,0.78,0.27
99,3,0.46,0.55,0.09
99,4,0.09,0.61,0.52
99,5,0.46,0.85,0.39
99,6,0.26,0.76,0.5
99,7,0.41,0.76,0.35
99,8,0.57,0.89,0.32
99,9,0.45,0.8,0.35
99,10,0.35,0.51,0.16
99,11,0.2,0.44,0.24
99,12,0.34,0.85,0.51
99,13,0.21,0.63,0.42
99,14,0.31,0.76,0.45
99,15,0.11,0.8,0.69
99,16,0.38,0.82,0.44
99,17,0.39,0.86,0.47
99,18,0.36,0.69,0.33
99,19,0.35,0.69,0.34
99,20,0.68,0.83,0.15
99,21,0.33,0.8,0.47
99,22,0.38,0.73,0.35
99,23,0.75,0.78,0.03
99,24,0.71,0.83,0.12
99,25,0.44,0.62,0.18
99,26,0.27,0.67,0.4
99,27,0.23,0.52,0.29
99,28,0.5,0.79,0.29
99,29,0.36,0.68,0.32
99,30,0.33,0.63,0.3
99,31,0.62,0.76,0.14
99,32,0.37,0.6,0.23
99,33,0.4,0.62,0.22
99,34,0.22,0.68,0.46
99,35,0.18,0.42,0.24
99,36,0.6,0.73,0.13
99,37,0.51,0.78,0.27
99,38,0.21,0.74,0.53
99,39,0.67,0.84,0.17
99,40,0.46,0.69,0.23
99,41,0.37,0.77,0.4
99,42,0.12,0.79,0.67
99,43,0.24,0.77,0.53
99,44,0.15,0.43,0.28
99,45,0.11,0.59,0.48
99,46,0.19,0.6,0.41
99,47,0.29,0.7,0.41
99,48,0.4,0.88,0.48
99,49,0.35,0.8,0.45
99,50,0.32,0.54,0.22
99,51,0.37,0.63,0.26
99,52,0.18,0.62,0.44
99,53,0.76,0.95,0.19
99,54,0.62,0.82,0.2
